Rxn,Flux,LB,UB
ACE_ACA.m,0.000000049911,4.99109940416E-08,4.99110059584E-08
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.000000050089,5.00889940416E-08,5.00890059584E-08
CO2.IN,0.1056,0.0876,0.1236
PGK,0.2745,0.224,0.325
42TK,0.051,0.0409,0.0611
PRK,0.1531,0.1223,0.1839
RUBISCO_CO2,0.1214,0.0996,0.1432
52TK,0.051,0.0409,0.0611
SBPase,0.051,0.0409,0.0611
34ALDO,0.051,0.0409,0.0611
33ALDO.p,0.0606,0.0496,0.0716
PGDH,0.000028288,0,0.002528288
GGT,0.0317,0.0192,0.0442
GDC,0.0158,0.0096,0.022
RUBISCO_O2,0.0317,0.0199,0.0435
SGT,0.0000001,9.99999959371E-08,1.000000040629E-07
PGP,0.0317,0.0199,0.0435
ENO.c,0.000089602,0,0.000256552
PGI.p,0.0096,0.0041,0.0151
PK.c,0.000004669,0,22.423804669
Ppdk.p,-0.0000091368,0,10.9458908632
GAPDH.c,0.000089602,0,0.000256552
MALSYN,0.0000021907,0,4.2962021907
ICITLY,0.0000036866,0,4.2962036866
AKGDH,0.0000024116,0,7.0751024116
ACONase,0.0000086702,0,6.2640086702
FUMase,0.0000060981,0,7.6868060981
ICITDH,0.0000049837,0,7.5517049837
ME.p,0.00000075797,0,11.98640075797
MDH,0.00000045846,0,25.20230045846
CITSYN,0.0000086702,0,6.2640086702
PEPC,0.000073068,0,22.125173068
PDH.m,0.000010811,0,7.639410811
PDH.p,0.000010525,0,7.569510525
SUCDH,0.0000060981,0,7.6868060981
ME.c,0.0000070724,0,22.9768070724
P5P_T,0.000040554,0,0.003540554
HP.t,0.0096,0.0041,0.0151
PYR.t,0.00000093037,9.303699915877E-07,9.303700084123E-07
TP.t,0.000090904,0,0.000257854
PEP.t,0.000011865,0,10.945911865
SERsyn.p,0.0000068522,0,0.0087068522
GDH,0.0000025721,0,11.6353025721
METsyn,0.00000033645,0,10.95410033645
Shikimat1,0.00000068203,6.820299984555E-07,6.820300015445E-07
THRsyn,0.0000001,9.99999986755E-08,1.000000013245E-07
ARGsyn,0.0000004441,0,14.7619004441
Shikimat2,0.00000068203,6.820299984555E-07,6.820300015445E-07
PROsyn,0.000002128,0,21.862302128
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.000064856,0,14.605564856
VALsyn,0.0000001,9.999999916777E-08,1.0000000083223E-07
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.0000068522,0,0.0087068522
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.0000013641,1.364099996911E-06,1.364100003089E-06
ILEsyn,0.0000001,9.99999986755E-08,1.000000013245E-07
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.0000004441,0,14.7619004441
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,0,0,0
HISprot,0,0,0
ILEprot,0.0000001,9.99999986755E-08,1.000000013245E-07
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.00000033645,0,10.95410033645
PHEprot,0,0,0
PROprot,0.000002128,0,21.862302128
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.0000013641,1.364099996911E-06,1.364100003089E-06
VALprot,0.0000001,9.999999916777E-08,1.0000000083223E-07
CYSprot,0.0158,0.0096,0.022
Starch_produce,0.0065,0.0033,0.0097
G1PadT,0.0065,0.0033,0.0097
PGM.p,0.0065,0.0033,0.0097
Turnover_P,0.0065,0.0033,0.0097
STARCH_OUT,0,0,0
ACP,0.0000052876,0,3.7847052876
FA2,0.0000052876,0,3.7847052876
G3P.TAGout,0.0000013017,1.301699989028E-06,1.301700010972E-06
G3P.c,0.0000013017,1.301699989028E-06,1.301700010972E-06
PYRIMIDINE,0.00006442,0,3.65146442
PURINE,0.0000044227,0,3.6514044227
GLYDH,0.0000024296,0,3.6514024296
PUnucOUT,0.0000044227,0,3.6514044227
PUnuc,0.0000044227,0,3.6514044227
THYMIDINE,0.0000001,9.99999961025E-08,1.000000038975E-07
PYnucOUT,0.00006432,0,3.65146432
PYnuc,0.00006442,0,3.65146442
GLPUrT,0.0096,0.0033,0.0159
PGM.c,0.0096,0.0033,0.0159
WALL,0.0096,0.0033,0.0159
G-3PGA.c,0.0000001,0.0000001,0.0000001
G-3PGA.p,0.006,0,0.6502
G-ACA.m,0.002,0,23.5328
G-ACA.p,0.0013,0,23.7549
G-G1P.c,0.0000001,0.0000001,0.0000001
G-G1P.p,0.0051,0,5.5493
G-G6P.c,0.00079592,0,22.29679592
G-G6P.p,0.5659,0,2.3601
G-GLY.c,0.0406,0,22.8397
G-GLY.p,0.0046,0,25.1208
G-PEP.c,0.1305,0,24.4046
G-PEP.p,0.0000001,0.0000001,0.0000001
G-PYR.c,0.004,0,21.8561
G-PYR.p,0.00045557,0,23.13975557
G-SER.c,0.00080325,0,21.15260325
G-SER.P,0.0059,0,22.6932
G-TP.c,0.0382,0,23.0184
G-TP.p,0.0000025802,0,22.4332025802
G-F6P.c,0.0018,0.0005,0.0031
G-F6P.p,0.0093,0.003,0.0156
G-P5P.c,0.0044,0,3.3903
G-P5P.p,0.0000001,0,22.3785001
