Rxn,Flux,LB,UB
ACE_ACA.m,0.000000050109,0,30.684500050109
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.000000049891,0,30.684500049891
CO2.IN,2.4185,1.793,3.044
PGK,5.6924,4.2493,7.1355
42TK,1.0127,0.7539,1.2715
PRK,3.038,0,15.2268
RUBISCO_CO2,2.625,1.954,3.296
52TK,1.0127,0.7528,1.2726
SBPase,1.0127,0.7528,1.2726
34ALDO,1.0127,0.7528,1.2726
33ALDO.p,1.0128,0.754,1.2716
PGDH,0.000058089,0,0.000125014
GGT,0.413,0.2596,0.5664
GDC,0.2065,0.1298,0.2832
RUBISCO_O2,0.413,0,12.5782
SGT,0.0293,0,15.6945
PGP,0.413,0,12.5782
ENO.c,0.00010763,0,0.00058477
PGI.p,0.000058189,0,0.000125114
PK.c,0.000047956,0,28.474047956
Ppdk.p,0.000046772,0,28.474046772
GAPDH.c,0.00010763,0,0.00058477
MALSYN,0.0000001,9.99999983564E-08,1.000000016436E-07
ICITLY,0.00000011848,0,12.16420011848
AKGDH,0.0000001001,0,0.0001464401
ACONase,0.00000058071,0,19.08500058071
FUMase,0.00000021858,0,12.16420021858
ICITDH,0.00000046223,0,15.44130046223
ME.p,0.00000044457,0,14.09630044457
MDH,-0.00000099487,0,19.08499900513
CITSYN,0.00000058071,0,19.08500058071
PEPC,0.000058988,0,0.000155884
PDH.m,0.0000006306,0,28.2299006306
PDH.p,0.0000011026,0,29.9223011026
SUCDH,0.00000021858,0,12.16420021858
ME.c,0.00000086887,0,17.75660086887
P5P_T,0.00000041386,0,12.16390041386
HP.t,0.000058189,0,0.000125114
PYR.t,0.000048194,0,44.783048194
TP.t,0.6288,0.424,0.8336
PEP.t,0.00000068208,0,28.47400068208
SERsyn.p,0.0000022112,0,19.2893022112
GDH,0.00000036214,0,15.44130036214
METsyn,0.00000011863,0,31.38790011863
Shikimat1,0.000011863,0,0.001611863
THRsyn,0.00000019259,0,16.48920019259
ARGsyn,0.0000002621,0,16.0048002621
Shikimat2,0.000011863,0,0.001611863
PROsyn,0.00000010004,0,28.45140010004
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.000057412,0,0.000119962
VALsyn,0.00000028571,0,8.57290028571
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.0000022112,0,19.2893022112
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.000023727,0,0.003123727
ILEsyn,0.00000019259,0,16.48920019259
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.0000002621,0,16.0048002621
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,0,0,0
HISprot,0,0,0
ILEprot,0.00000019259,0,16.48920019259
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.00000011863,0,31.38790011863
PHEprot,0,0,0
PROprot,0.00000010004,0,28.45140010004
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.000023727,0,0.003123727
VALprot,0.00000028571,0,8.57290028571
CYSprot,0.1772,0,15.8427
Starch_produce,0.000053996,0,0.000126133
G1PadT,0.000053996,0,0.000126133
PGM.p,0.000053996,0,0.000126133
Turnover_P,0.000053996,0,0.000126133
STARCH_OUT,0,0,0
ACP,0.00000057624,0,12.47260057624
FA2,0.00000057624,0,12.47260057624
G3P.TAGout,0.6287,0.4239,0.8335
G3P.c,0.6287,0.4239,0.8335
PYRIMIDINE,0.000057101,0,21.160557101
PURINE,0.0000014013,0,11.5328014013
GLYDH,0.00000080996,0,12.65780080996
PUnucOUT,0.0000014013,0,11.5328014013
PUnuc,0.0000014013,0,11.5328014013
THYMIDINE,0.0000001,0,31.0831001
PYnucOUT,0.000057001,0,13.908157001
PYnuc,0.000057101,0,21.160557101
GLPUrT,0.0000001,9.99999938177E-08,1.000000061823E-07
PGM.c,0.0000001,9.99999938177E-08,1.000000061823E-07
WALL,0.0000001,9.99999938177E-08,1.000000061823E-07
G-3PGA.c,0.0000001,0.0000001,0.0000001
G-3PGA.p,0.0635,0,1.9415
G-ACA.m,0.0023,0,33.3079
G-ACA.p,0.00011271,0,29.99881271
G-G1P.c,0.0000001,0.0000001,0.0000001
G-G1P.p,0.00062951,0,0.59562951
G-G6P.c,0.0011,0,0.005
G-G6P.p,0.0028,0,0.01
G-GLY.c,0.002,0,33.069
G-GLY.p,0.00026479,0,30.98766479
G-PEP.c,0.3358,0,31.6805
G-PEP.p,0.00000084858,0,32.05040084858
G-PYR.c,0.00054235,0,31.62714235
G-PYR.p,0.00066706,0,32.39606706
G-SER.c,0.00019332,0,29.48289332
G-SER.P,0.0018,0,30.8369
G-TP.c,0.000071354,0,16.453871354
G-TP.p,0.000001992,0,31.799001992
G-F6P.c,0.0034,0,0.0109
G-F6P.p,0.0038,0,0.013
G-P5P.c,0.000065028,0,0.015765028
G-P5P.p,0.00068375,0,0.16458375
