Rxn,Flux,LB,UB
ACE_ACA.m,0.000000049994,4.999399986055E-08,4.999400013945E-08
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.000000050006,5.000599986055E-08,5.000600013945E-08
CO2.IN,0.3982,0.3511,0.4453
PGK,0.697,0.6098,0.7842
42TK,0.1394,0.1219,0.1569
PRK,0.3784,0.3284,0.4284
RUBISCO_CO2,0.3784,0.3308,0.426
52TK,0.1394,0.1219,0.1569
SBPase,0.1394,0.1219,0.1569
34ALDO,0.1394,0.1219,0.1569
33ALDO.p,0.1394,0.1219,0.1569
PGDH,0.0000080085,0,0.0000164948
GGT,0.0000042879,0,0.0307042879
GDC,0.0000021439,0,0.0153021439
RUBISCO_O2,0.000016402,0,0.007816402
SGT,0.0000020439,0,0.0153020439
PGP,0.000016402,0,0.007816402
ENO.c,0.000014464,0,0.000064518
PGI.p,0.0000087305,0.0000002404,0.0000172206
PK.c,0.000018307,0,0.241718307
Ppdk.p,-0.00000088348,0,0.24169911652
GAPDH.c,0.000014464,0,0.000064518
MALSYN,0.000013311,0,0.153913311
ICITLY,0.0000011972,0,0.1528011972
AKGDH,0.00000050849,0,0.10080050849
ACONase,0.000005608,0,0.132205608
FUMase,0.0000017057,0,0.0898017057
ICITDH,0.0000044109,0,0.1710044109
ME.p,0.00000077003,0,0.23340077003
MDH,0.000013585,0,0.125913585
CITSYN,0.000005608,0,0.132205608
PEPC,-0.0000051267,0,0.0000004459
PDH.m,0.000018869,0,0.226718869
PDH.p,0.0000008758,0,0.0830008758
SUCDH,0.0000017057,0,0.0898017057
ME.c,0.00000066196,0,0.19480066196
P5P_T,0.0398,0.0322,0.0474
HP.t,0.0000087305,0.0000002404,0.0000172206
PYR.t,0.0000001,9.99999998918E-08,1.000000001082E-07
TP.t,0.000014564,0,0.000064618
PEP.t,0.0000012835,0,0.2417012835
SERsyn.p,0.0597,0.0453,0.0741
GDH,0.0000039024,0,0.1845039024
METsyn,0.0000020149,0,0.0278020149
Shikimat1,0.0000001,9.9999999976001E-08,1.00000000023999E-07
THRsyn,0.00000027473,0,0.09420027473
ARGsyn,0.00000049394,0,0.13170049394
Shikimat2,0.0000001,9.9999999976001E-08,1.00000000023999E-07
PROsyn,0.0000034084,0,0.2974034084
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.0000028503,0,0.0907028503
VALsyn,0.00000030149,0,0.12030030149
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.0597,0.0453,0.0741
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.0000002,1.99999999952003E-07,2.00000000047997E-07
ILEsyn,0.00000027473,0,0.09420027473
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.00000049394,0,0.13170049394
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,0,0,0
HISprot,0,0,0
ILEprot,0.00000027473,0,0.09420027473
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.0000020149,0,0.0278020149
PHEprot,0,0,0
PROprot,0.0000034084,0,0.2974034084
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.0000002,1.99999999952003E-07,2.00000000047997E-07
VALprot,0.00000030149,0,0.12030030149
CYSprot,0.0000001,9.999999984934E-08,1.0000000015066E-07
Starch_produce,0.000019315,0,0.000041845
G1PadT,0.000019315,0,0.000041845
PGM.p,0.000019315,0,0.000041845
Turnover_P,0.000019315,0,0.000041845
STARCH_OUT,0,0,0
ACP,0.0000004629,0,0.0415004629
FA2,0.0000004629,0,0.0415004629
G3P.TAGout,0.0000001,9.999999988885E-08,1.0000000011115E-07
G3P.c,0.0000001,9.999999988885E-08,1.0000000011115E-07
PYRIMIDINE,0.00000056065,5.60649999908389E-07,5.60650000091611E-07
PURINE,0.0398,0.0322,0.0474
GLYDH,0.0199,0.0069,0.0329
PUnucOUT,0.0398,0.0322,0.0474
PUnuc,0.0398,0.0322,0.0474
THYMIDINE,0.0000001,9.9999999914245E-08,1.00000000085755E-07
PYnucOUT,0.00000046065,4.60649999985751E-07,4.60650000014249E-07
PYnuc,0.00000056065,5.60649999908389E-07,5.60650000091611E-07
GLPUrT,0.000000722,0.00000023902,0.00000120498
PGM.c,0.000000722,0.00000023902,0.00000120498
WALL,0.000000722,0.00000023902,0.00000120498
G-3PGA.c,2.5403,2.0082,3.0724
G-3PGA.p,0.000059861,0,0.550259861
G-ACA.m,0.0014,0,0.48
G-ACA.p,0.0056,0,0.5108
G-G1P.c,0.0000043401,0,0.5275043401
G-G1P.p,0.0328,0,0.5602
G-G6P.c,0.0029,0,0.5504
G-G6P.p,4.9203,4.537,5.3036
G-GLY.c,0.00061129,0,0.54521129
G-GLY.p,0.0084,0,0.52
G-PEP.c,0.8957,0.4063,1.3851
G-PEP.p,0.0000091625,0,0.5268091625
G-PYR.c,0.00061925,0,0.52341925
G-PYR.p,0.0057,0,0.5215
G-SER.c,0.0002672,0,0.4892672
G-SER.P,0.0153,0,0.5297
G-TP.c,0.0002384,0,0.0018384
G-TP.p,0.0025,0,0.0184
G-F6P.c,0.0017,0,0.0053
G-F6P.p,0.0049,0,0.0164
G-P5P.c,0.00021136,0,0.54431136
G-P5P.p,2.3393,1.9624,2.7162
