Rxn,Flux,LB,UB
ACE_ACA.m,0.000000035889,3.5888946753E-08,3.5889053247E-08
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.000000064111,6.4110946753E-08,6.4111053247E-08
CO2.IN,0.2163,0.1897,0.2429
PGK,0.469,0.4099,0.5281
42TK,0.0814,0.0712,0.0916
PRK,0.2413,0.2107,0.2719
RUBISCO_CO2,0.2244,0.1968,0.252
52TK,0.0814,0.0712,0.0916
SBPase,0.0814,0.0712,0.0916
34ALDO,0.0814,0.0712,0.0916
33ALDO.p,0.112,0.0959,0.1281
PGDH,0.000000085477,8.547698981E-08,8.547701019E-08
GGT,0.016,0.0094,0.0226
GDC,0.008,0.0047,0.0113
RUBISCO_O2,0.0169,0.0106,0.0232
SGT,0.008,0,0.0163
PGP,0.0169,0.0106,0.0232
ENO.c,0.00084985,0.0000682899999999999,0.00163141
PGI.p,0.0307,0.0191,0.0423
PK.c,0.00097485,0.00013168,0.00181802
Ppdk.p,0.0000003,2.99999970775E-07,3.00000029225E-07
GAPDH.c,0.00084985,0.0000682899999999999,0.00163141
MALSYN,0.00097161,0.00007974,0.00186348
ICITLY,0.0000001,9.9999981203E-08,1.00000018797E-07
AKGDH,0.0000001,9.99999915468E-08,1.000000084532E-07
ACONase,0.0000027766,0,0.0001155266
FUMase,0.0000002,1.99999989258E-07,2.00000010742E-07
ICITDH,0.0000026766,0,0.0001154266
ME.p,0.0000001,9.9999984659E-08,1.00000015341E-07
MDH,0.00097161,0.00007974,0.00186348
CITSYN,0.0000027766,0,0.0001155266
PEPC,-0.00012509,0,0.00080157
PDH.m,0.00097435,0.00013118,0.00181752
PDH.p,0.00000009591,9.59099936223E-08,9.59100063777E-08
SUCDH,0.0000002,1.99999989258E-07,2.00000010742E-07
ME.c,0.0000001,9.9999995443E-08,1.00000004557E-07
P5P_T,0.0028,0.0003,0.0053
HP.t,0.0307,0.0191,0.0423
PYR.t,0.00000059561,5.95609969927E-07,5.95610030073E-07
TP.t,0.00087186,0,0.03077186
PEP.t,0.0000001,0.0000001,0.0000001
SERsyn.p,0.0046,0.0011,0.0081
GDH,0.0000025766,0,0.0001153266
METsyn,0.00084344,0,0.00172515
Shikimat1,0.0000001,9.99999926937E-08,1.000000073063E-07
THRsyn,0.000000099698,9.96979956632E-08,9.96980043368E-08
ARGsyn,0.0000024766,0,0.0001152266
Shikimat2,0.0000001,9.99999926937E-08,1.000000073063E-07
PROsyn,0.0000001,9.99999939479E-08,1.000000060521E-07
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.00084374,0,0.00172545
VALsyn,0.0000001,9.9999985006E-08,1.00000014994E-07
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.0046,0.0011,0.0081
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.0000002,1.99999985387E-07,2.00000014613E-07
ILEsyn,0.000000099698,9.96979956632E-08,9.96980043368E-08
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.0000024766,0,0.0001152266
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,-2.647E-23,0,-2.647E-23
HISprot,0,0,0
ILEprot,0.000000099698,9.96979956632E-08,9.96980043368E-08
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.00084344,0,0.00172515
PHEprot,0,0,0
PROprot,0.0000001,9.99999939479E-08,1.000000060521E-07
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.0000002,1.99999985387E-07,2.00000014613E-07
VALprot,0.0000001,9.9999985006E-08,1.00000014994E-07
CYSprot,0.0000001,0,0.0099001
Starch_produce,0.015,0.01,0.02
G1PadT,0.015,0.01,0.02
PGM.p,0.015,0.01,0.02
