Rxn,Flux,LB,UB
Turnover_P,0.015,0.01,0.02
STARCH_OUT,0,0,0
ACP,0.00000008001,8.0009971049E-08,8.0010028951E-08
FA2,0.00000008001,8.0009971049E-08,8.0010028951E-08
G3P.TAGout,0.000022014,0,0.029922014
G3P.c,0.000022014,0,0.029922014
PYRIMIDINE,0.0000002,1.99999989207E-07,2.00000010793E-07
PURINE,0.0028,0.0003,0.0053
GLYDH,0.0018,0.0007,0.0029
PUnucOUT,0.0028,0.0003,0.0053
PUnuc,0.0028,0.0003,0.0053
THYMIDINE,0.0000001,9.9999957096E-08,1.00000042904E-07
PYnucOUT,0.0000001,9.9999977828E-08,1.00000022172E-07
PYnuc,0.0000002,1.99999989207E-07,2.00000010793E-07
GLPUrT,0.0307,0.0191,0.0423
PGM.c,0.0307,0.0191,0.0423
WALL,0.0307,0.0191,0.0423
G-3PGA.c,0.0037,0,0.0202
G-3PGA.p,0.0026,0,0.0155
G-ACA.m,0.00053798,0,379.31893798
G-ACA.p,0.00081283,0,376.68101283
G-G1P.c,0.0000016826,0,368.4095016826
G-G1P.p,0.03,0,57.9508
G-G6P.c,0.000071156,0,388.597171156
G-G6P.p,2.3087,0,37.3659
G-GLY.c,0.0229,0,369.7085
G-GLY.p,0.0048,0,363.7613
G-PEP.c,0.0829,0,368.8888
G-PEP.p,0.00018182,0,385.44228182
G-PYR.c,0.0085,0,395.3008
G-PYR.p,0.00011445,0,385.73621445
G-SER.c,0.0018,0,375.7236
G-SER.P,0.005,0,388.835
G-TP.c,0.0059,0,8.003
G-TP.p,0.000068544,0,377.868368544
G-F6P.c,0.006,0,0.0218
G-F6P.p,0.0134,0,0.0573
G-P5P.c,0.0002225,0,367.1207225
G-P5P.p,0.0134,0,0.2205
