Rxn,Flux,LB,UB
ACE_ACA.m,0.00039406,0,0.05389406
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,-0.00039396,0,0.05310604
CO2.IN,1.1261,0.9963,1.2559
PGK,2.2971,2.0049,2.5893
42TK,0.383,0.329,0.437
PRK,1.1528,0.9904,1.3152
RUBISCO_CO2,1.1351,1.0007,1.2695
52TK,0.3861,0.3321,0.4401
SBPase,0.3861,0.3321,0.4401
34ALDO,0.3861,0.3321,0.4401
33ALDO.p,0.383,0.329,0.437
PGDH,-0.00068576,0,-0.00056976
GGT,0.0171,0,0.0805
GDC,0.0085,0,0.0402
RUBISCO_O2,0.0177,0,0.0811
SGT,0.011,0,0.0427
PGP,0.0177,0,0.0811
ENO.c,0.00089083,0,0.05389083
PGI.p,0.0000091608,0,0.0000243918
PK.c,0.0038,0,0.0573
Ppdk.p,-0.0037,0,0.1025
GAPDH.c,0.00089083,0,0.05389083
MALSYN,0.0000001,9.999999963494E-08,1.0000000036506E-07
ICITLY,-0.00061995,0,-0.000580948
AKGDH,0.0000001,9.999999972604E-08,1.0000000027396E-07
ACONase,0.00000009976,9.9759999938014E-08,9.9760000061986E-08
FUMase,-0.00061985,0,-0.000580848
ICITDH,0.00062005,0.000581048,0.000659052
ME.p,0.0033,0.0016,0.005
MDH,0.00030491,0,0.00200491
CITSYN,0.00000009976,9.9759999938014E-08,9.9760000061986E-08
PEPC,-0.00025721,0,0.00194279
PDH.m,-0.00039386,0,0.05310614
PDH.p,0.0082,0.0017,0.0147
SUCDH,-0.00061985,0,-0.000580848
ME.c,-0.0042,0,-0.0041901923
P5P_T,0.0025,0,0.0059
HP.t,0.0000091608,0,0.0000243918
PYR.t,0.0000001,9.99999983255E-08,1.000000016745E-07
TP.t,0.3759,0.3057,0.4461
PEP.t,-0.0027,0,0.1035
SERsyn.p,0.0018,0,0.0547
GDH,0.00061995,0.000580948,0.000658952
METsyn,0.00050617,0,0.10700617
Shikimat1,-0.0016,0,-0.00159999999999949
THRsyn,-0.0004757,0,0.1060243
ARGsyn,0.0008099,0.000770898,0.000848902
Shikimat2,-0.0016,0,-0.00159999999999949
PROsyn,-0.00018995,0,-0.000189949999999448
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.000047599,0,0.000475789
VALsyn,-0.00039023,0,-0.000390229999999827
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.0018,0,0.0547
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,-0.0032,0,-0.00319999999999897
ILEsyn,-0.0004757,0,0.1060243
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.0008099,0.000770898,0.000848902
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,-2.647E-23,0,-2.647E-23
HISprot,0,0,0
ILEprot,-0.0004757,0,0.1060243
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.00050617,0,0.10700617
PHEprot,0,0,0
PROprot,-0.00018995,0,-0.000189949999999448
SERprot,0,0,0
THRprot,0,0,0
TYRprot,-0.0032,0,-0.00319999999999897
VALprot,-0.00039023,0,-0.000390229999999827
CYSprot,-0.0025,0,-0.00249999999999908
Starch_produce,0.000046651,0.000003705,0.000089597
G1PadT,0.000046651,0.000003705,0.000089597
PGM.p,0.000046651,0.000003705,0.000089597
Turnover_P,0.000046651,0.000003705,0.000089597
STARCH_OUT,0,0,0
ACP,0.0039,0,0.0312
FA2,0.0039,0,0.0312
G3P.TAGout,0.375,0.3315,0.4185
G3P.c,0.375,0.3315,0.4185
PYRIMIDINE,0.000017127,0,0.004517127
PURINE,0.0018,0,0.004
GLYDH,0.0000028765,0,0.0531028765
PUnucOUT,0.0018,0,0.004
PUnuc,0.0018,0,0.004
THYMIDINE,-0.0023,0,-0.00229999999999953
PYnucOUT,0.0023,0,0.0068
PYnuc,0.000017127,0,0.004517127
GLPUrT,0.00069492,0.00058216,0.00080768
PGM.c,0.00069492,0.00058216,0.00080768
WALL,0.00069492,0.00058216,0.00080768
G-3PGA.c,0.9011,0,4.5314
G-3PGA.p,0.4297,0,3.7124
G-ACA.m,0.001,0,3.6956
G-ACA.p,0.00024539,0,4.04204539
G-G1P.c,0.000032167,0,3.968432167
G-G1P.p,0.0145,0,0.9613
G-G6P.c,0.2424,0,0.4949
G-G6P.p,0.0708,0.0083,0.1333
G-GLY.c,0.00046301,0,3.78756301
G-GLY.p,0.0084,0,3.5836
G-PEP.c,0.0028,0,0.01
G-PEP.p,0.00011423,0,0.00040709
G-PYR.c,0.00060999,0,3.63360999
G-PYR.p,0.0003696,0,3.4344696
G-SER.c,0.00060399,0,3.56300399
G-SER.P,0.0216,0,3.6538
G-TP.c,0.0023,0,3.872
G-TP.p,0.042,0,1.1185
G-F6P.c,0.00068836,0,0.00618836
G-F6P.p,0.0053,0,0.0312
G-P5P.c,0.0015,0,0.0146
G-P5P.p,0.0015,0,0.0144
